Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,MA_50,MA_200,MA_diff,crossover,RSI,MA_20,Std_20,Signal,Stop_Loss,Position_Size,Returns,Strategy_Returns,Returns_10
2000-05-11,1383.050048828125,1410.260009765625,1383.050048828125,1407.81005859375,953600000,0.0,0.0,1447.1291967773439,,,0,44.80022226549328,1429.3390075683594,29.762652511962745,-1,1337.4195556640625,0.03,0.01790246837893128,-0.01790246837893128,-0.03898505286183007
2000-05-12,1407.81005859375,1430.1300048828125,1407.81005859375,1420.9599609375,858200000,0.0,0.0,1447.9131958007813,,,0,48.323911769100796,1428.361505126953,29.697422463291225,-1,1349.9119628906249,0.03,0.009340679350512193,-0.009340679350512193,-0.021667200215963467
2000-05-15,1420.9599609375,1452.3900146484375,1416.5400390625,1452.3599853515625,854600000,0.0,0.0,1448.7769946289063,,,0,44.970326997902994,1433.1515014648437,24.834609921164002,0,1379.7419860839843,0.03,0.022097754530216118,-0.022097754530216118,-0.010822417604929302
2000-05-16,1452.3599853515625,1470.4000244140625,1450.760009765625,1466.0400390625,955500000,0.0,0.0,1450.2721948242188,,,0,51.02414273534489,1436.3815063476563,24.693674218622743,0,1392.738037109375,0.03,0.009419189353131463,0.0,0.013655628861830582
2000-05-17,1466.0400390625,1466.0400390625,1441.6700439453125,1447.800048828125,820500000,0.0,0.0,1452.1157958984375,,,0,46.718547098338064,1436.6910095214844,24.80121352854988,1,1375.4100463867187,0.03,-0.012441672634015521,-0.0,0.023107959724646188
2000-05-18,1447.800048828125,1458.0400390625,1436.5899658203125,1437.2099609375,807900000,0.0,0.0,1453.52599609375,,,0,47.06130524120617,1437.1780090332031,24.706063650000882,0,1365.3494628906249,0.03,-0.0073146066676795796,-0.0073146066676795796,0.01960882801254704
2000-05-19,1437.2099609375,1437.2099609375,1401.739990234375,1406.949951171875,853700000,0.0,0.0,1453.6311962890625,,,0,38.789316754878115,1435.7985046386718,25.614673004570964,0,1336.602453613281,0.03,-0.021054689703017493,-0.0,-0.017925112292366152
2000-05-22,1406.949951171875,1410.550048828125,1368.72998046875,1400.719970703125,869000000,0.0,0.0,1453.7441967773439,,,0,41.157286645941845,1434.34150390625,26.77282449616756,0,1330.6839721679687,0.03,-0.004428004324930623,-0.0,-0.016465781836854876
2000-05-23,1400.719970703125,1403.77001953125,1373.4300537109375,1373.8599853515625,869900000,0.0,0.0,1453.5489965820314,,,0,41.860745257935726,1429.1625061035156,27.987776378338904,-1,1305.1669860839843,0.03,-0.01917584236203862,-0.0,-0.027107814310045608
2000-05-24,1373.8599853515625,1401.75,1361.0899658203125,1399.050048828125,1152300000,0.0,0.0,1454.3469970703125,,,0,48.07327971482957,1426.0655090332032,27.70610841395033,0,1329.0975463867187,0.03,0.01833524794749475,-0.01833524794749475,0.011568634131177591
2000-05-25,1399.050048828125,1411.6500244140625,1373.9300537109375,1381.52001953125,984500000,0.0,0.0,1454.1345971679686,,,0,40.445663509217916,1421.8955078125,27.826329800903878,0,1312.4440185546875,0.03,-0.012529951527866068,-0.0,-0.018674421952035836
2000-05-26,1381.52001953125,1391.4200439453125,1369.75,1378.02001953125,722600000,0.0,0.0,1452.5255981445312,,,0,41.20985843645358,1418.1750061035157,28.4952861225815,-1,1309.1190185546875,0.03,-0.0025334413910176323,-0.0,-0.030218966463995023
2000-05-30,1378.02001953125,1422.449951171875,1378.02001953125,1422.449951171875,844200000,0.0,0.0,1451.6851977539063,,,0,51.74797994787043,1415.8850036621093,25.98940392475721,-1,1351.3274536132812,0.03,0.03224186224503356,-0.03224186224503356,-0.020594091328154707
2000-05-31,1422.43994140625,1434.489990234375,1415.5,1420.5999755859375,960500000,0.0,0.0,1450.9645971679688,,,0,57.0142191117741,1414.6005004882813,25.024513271875822,-1,1349.5699768066406,0.03,-0.0013005558363676784,0.0013005558363676784,-0.03099510399840133
2000-06-01,1420.5999755859375,1448.81005859375,1420.5999755859375,1448.81005859375,960100000,0.0,0.0,1450.0633984375,,,0,57.5612242325134,1416.2860046386718,26.169010329586506,0,1376.3695556640625,0.03,0.01985786533339695,-0.01985786533339695,0.0006976168887702361
2000-06-02,1448.81005859375,1483.22998046875,1448.81005859375,1477.260009765625,1162400000,0.0,0.0,1449.5957983398437,,,0,59.8282271132148,1419.6705078125,29.42890769810084,1,1403.3970092773436,0.03,0.01963677088181548,0.0,0.027866526058586638
